26. ROUND;Mattersburg - Salzburg;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/mattersburg-salzburg/CCcbKSLU/;AC Wolfsberger - LASK Linz;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/ac-wolfsberger-lask-linz/QeenNUyC/;Admira - Sturm Graz;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/admira-sturm-graz/v3B2PKIu/;Altach - Rapid Vienna;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/altach-rapid-vienna/4nfjMliI/;Austria Vienna - St. Polten;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/austria-vienna-st-polten/YLbfL86O/
25. ROUND;Salzburg - Rapid Vienna;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/salzburg-rapid-vienna/Wd2wPj7a/;Austria Vienna - AC Wolfsberger;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/austria-vienna-ac-wolfsberger/xz3ZPWig/;LASK Linz - Sturm Graz;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/lask-linz-sturm-graz/t89QRhNt/;Mattersburg - Admira;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/mattersburg-admira/rX5sOAM5/;St. Polten - Altach;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/st-polten-altach/bq4VQCxm/
24. ROUND;Sturm Graz - Salzburg;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/sturm-graz-salzburg/UTu89B7C/;AC Wolfsberger - St. Polten;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/ac-wolfsberger-st-polten/ChVC8VMI/;Admira - Austria Vienna;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/admira-austria-vienna/jws4Aih6/;Altach - Mattersburg;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/altach-mattersburg/QeZG7kxP/;Rapid Vienna - LASK Linz;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/rapid-vienna-lask-linz/vaNbWYEP/
23. ROUND;Salzburg - St. Polten;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/salzburg-st-polten/d2S0BXx0/;AC Wolfsberger - Admira;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/ac-wolfsberger-admira/UmCKV1OE/;LASK Linz - Altach;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/lask-linz-altach/zmvhDg8m/;Mattersburg - Austria Vienna;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/mattersburg-austria-vienna/MqzlEZhs/;Rapid Vienna - Sturm Graz;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/rapid-vienna-sturm-graz/IBTdCDNg/
22. ROUND;Admira - Rapid Vienna;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/admira-rapid-vienna/EuUX7bW7/;Altach - Salzburg;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/altach-salzburg/zkVT8vH1/;Austria Vienna - LASK Linz;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/austria-vienna-lask-linz/UiSLA0nk/;St. Polten - Mattersburg;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/st-polten-mattersburg/tSVP9K1e/;Sturm Graz - AC Wolfsberger;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/sturm-graz-ac-wolfsberger/jcDGWs98/
21. ROUND;Rapid Vienna - Austria Vienna;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/rapid-vienna-austria-vienna/fVcxJOv9/;AC Wolfsberger - Altach;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/ac-wolfsberger-altach/nTxHBtXr/;LASK Linz - St. Polten;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/lask-linz-st-polten/xfmsIrfF/;Mattersburg - Sturm Graz;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/mattersburg-sturm-graz/GpnoH29L/;Salzburg - Admira;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/salzburg-admira/pKjkGMOR/
20. ROUND;Austria Vienna - Sturm Graz;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/austria-vienna-sturm-graz/tSgYJ4P2/;Admira - Altach;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/admira-altach/UVjobN2q/;Mattersburg - AC Wolfsberger;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/mattersburg-ac-wolfsberger/SO5jeLn2/;Salzburg - LASK Linz;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/salzburg-lask-linz/8MkkcsIk/;St. Polten - Rapid Vienna;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/st-polten-rapid-vienna/lY6nd1Xe/
19. ROUND;AC Wolfsberger - Salzburg;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/ac-wolfsberger-salzburg/GOAA4PPF/;Altach - Austria Vienna;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/altach-austria-vienna/8b726oe3/;LASK Linz - Admira;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/lask-linz-admira/xYB655A9/;Rapid Vienna - Mattersburg;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/rapid-vienna-mattersburg/bm0F3quM/;Sturm Graz - St. Polten;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/sturm-graz-st-polten/Cj4J23fS/
18. ROUND;Austria Vienna - Salzburg;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/austria-vienna-salzburg/S2UFrr3d/;AC Wolfsberger - Rapid Vienna;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/ac-wolfsberger-rapid-vienna/U78b7Ruc/;Admira - St. Polten;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/admira-st-polten/UHBCqOmj/;Altach - Sturm Graz;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/altach-sturm-graz/YoQtkpQS/;Mattersburg - LASK Linz;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/mattersburg-lask-linz/zeC8p4Yq/
17. ROUND;LASK Linz - AC Wolfsberger;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/lask-linz-ac-wolfsberger/GAVyjQAM/;Rapid Vienna - Altach;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/rapid-vienna-altach/UgTPhSQ3/;Salzburg - Mattersburg;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/salzburg-mattersburg/rcXTintA/;St. Polten - Austria Vienna;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/st-polten-austria-vienna/nVwLg8Bc/;Sturm Graz - Admira;https://www.betexplorer.com/soccer/austria/tipico-bundesliga-2017-2018/sturm-graz-admira/xKWXj6eG/
